Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
5.0,744.0,Переменная облачность,СЗ 3м/с,1.0,746.0,Ясно,СЗ 3м/с
6.0,743.0,Малооблачно,З 4м/с,3.0,743.0,Малооблачно,З 4м/с
6.0,748.0,Малооблачно,СЗ 3м/с,2.0,751.0,Малооблачно,СЗ 3м/с
12.0,753.0,Ясно,З 3м/с,10.0,753.0,Ясно,З 3м/с
18.0,753.0,Малооблачно,З 3м/с,13.0,753.0,Ясно,З 3м/с
19.0,749.0,Ясно,Ю 2м/с,14.0,749.0,Переменная облачность,Ю 2м/с
20.0,742.0,Переменная облачность,ЮВ 2м/с,13.0,740.0,Пасмурно,ЮВ 2м/с
12.0,743.0,Пасмурно,З 2м/с,11.0,744.0,Переменная облачность,З 2м/с
18.0,746.0,Малооблачно,ЮЗ 2м/с,13.0,744.0,Ясно,ЮЗ 2м/с
15.0,742.0,Малооблачно,З 2м/с,12.0,744.0,Переменная облачность,З 2м/с
13.0,753.0,Ясно,С 1м/с,10.0,754.0,Ясно,С 1м/с
20.0,748.0,Ясно,ЮВ 2м/с,18.0,746.0,Малооблачно,ЮВ 2м/с
17.0,745.0,Переменная облачность,ЮЗ 2м/с,12.0,746.0,Ясно,ЮЗ 2м/с
13.0,753.0,Малооблачно,З 3м/с,8.0,756.0,Ясно,З 3м/с
15.0,761.0,Ясно,З 1м/с,9.0,761.0,Ясно,З 1м/с
20.0,759.0,Ясно,ЮВ 1м/с,17.0,757.0,Переменная облачность,ЮВ 1м/с
22.0,754.0,Переменная облачность,В 2м/с,18.0,753.0,Малооблачно,В 2м/с
28.0,750.0,Ясно,Ю 3м/с,24.0,750.0,Переменная облачность,Ю 3м/с
28.0,752.0,Ясно,СЗ 1м/с,24.0,752.0,Ясно,СЗ 1м/с
29.0,751.0,Ясно,Ю 2м/с,23.0,751.0,Ясно,Ю 2м/с
30.0,751.0,Ясно,ЮЗ 3м/с,24.0,751.0,Ясно,ЮЗ 3м/с
32.0,751.0,Ясно,З 2м/с,24.0,752.0,Ясно,З 2м/с
32.0,753.0,Ясно,СЗ 2м/с,23.0,754.0,Ясно,СЗ 2м/с
23.0,754.0,Переменная облачность,В 2м/с,21.0,754.0,Малооблачно,В 2м/с
24.0,756.0,Ясно,СВ 2м/с,18.0,756.0,Ясно,СВ 2м/с
23.0,757.0,Ясно,З 2м/с,14.0,757.0,Ясно,З 2м/с
27.0,756.0,Ясно,СВ 2м/с,21.0,757.0,Ясно,СВ 2м/с
26.0,758.0,Ясно,З 2м/с,17.0,757.0,Ясно,З 2м/с
29.0,756.0,Ясно,З 2м/с,18.0,755.0,Ясно,З 2м/с
30.0,752.0,Малооблачно,ЮЗ 2м/с,19.0,752.0,Ясно,ЮЗ 2м/с
28.0,754.0,Малооблачно,СВ 2м/с,20.0,753.0,Ясно,СВ 2м/с
30.0,751.0,Ясно,З 2м/с,19.0,750.0,Ясно,З 2м/с
30.0,746.0,Малооблачно,З 2м/с,19.0,745.0,Ясно,З 2м/с
29.0,742.0,Переменная облачность,СВ 2м/с,19.0,742.0,Переменная облачность,СВ 2м/с
20.0,744.0,Малооблачно,СВ 3м/с,15.0,746.0,Ясно,СВ 3м/с
21.0,751.0,Ясно,СВ 2м/с,17.0,753.0,Ясно,СВ 2м/с
22.0,755.0,Малооблачно,ЮВ 1м/с,14.0,756.0,Ясно,ЮВ 1м/с
24.0,756.0,Ясно,З 2м/с,15.0,756.0,Ясно,З 2м/с
26.0,757.0,Ясно,В 1м/с,21.0,756.0,Ясно,В 1м/с
29.0,758.0,Ясно,СЗ 3м/с,19.0,758.0,Ясно,СЗ 3м/с
30.0,758.0,Ясно,СЗ 2м/с,19.0,757.0,Ясно,СЗ 2м/с
31.0,757.0,Ясно,СЗ 2м/с,22.0,756.0,Ясно,СЗ 2м/с
31.0,754.0,Малооблачно,СЗ 1м/с,21.0,752.0,Ясно,СЗ 1м/с
30.0,749.0,Малооблачно,СЗ 2м/с,23.0,749.0,Ясно,СЗ 2м/с
26.0,750.0,Ясно,СВ 2м/с,21.0,751.0,Ясно,СВ 2м/с
26.0,751.0,Ясно,З 2м/с,21.0,750.0,Малооблачно,З 2м/с
30.0,746.0,Малооблачно,З 3м/с,23.0,744.0,Малооблачно,З 3м/с
23.0,740.0,Малооблачно,ЮЗ 3м/с,16.0,740.0,Малооблачно,ЮЗ 3м/с
20.0,739.0,Переменная облачность,ЮВ 1м/с,18.0,738.0,Малооблачно,ЮВ 1м/с
21.0,737.0,Переменная облачность,З 1м/с,16.0,737.0,Ясно,З 1м/с
22.0,735.0,Переменная облачность,С 1м/с,16.0,734.0,Переменная облачность,С 1м/с
17.0,735.0,Переменная облачность,З 4м/с,13.0,737.0,Малооблачно,З 4м/с
14.0,736.0,Переменная облачность,З 2м/с,15.0,737.0,Ясно,З 2м/с
19.0,743.0,Переменная облачность,ЮЗ 2м/с,14.0,745.0,Малооблачно,ЮЗ 2м/с
20.0,748.0,Малооблачно,ЮЗ 3м/с,18.0,747.0,Ясно,ЮЗ 3м/с
19.0,745.0,Малооблачно,З 2м/с,15.0,743.0,Пасмурно,З 2м/с
16.0,743.0,Малооблачно,З 3м/с,10.0,745.0,Ясно,З 3м/с
22.0,749.0,Переменная облачность,З 2м/с,17.0,749.0,Малооблачно,З 2м/с
25.0,747.0,Ясно,ЮВ 2м/с,21.0,744.0,Ясно,ЮВ 2м/с
25.0,741.0,Малооблачно,ЮЗ 4м/с,21.0,744.0,Переменная облачность,ЮЗ 4м/с
23.0,748.0,Малооблачно,З 2м/с,17.0,747.0,Ясно,З 2м/с
24.0,746.0,Малооблачно,З 3м/с,19.0,746.0,Пасмурно,З 3м/с
23.0,746.0,Малооблачно,ЮЗ 3м/с,19.0,746.0,Малооблачно,ЮЗ 3м/с
22.0,746.0,Малооблачно,З 3м/с,19.0,747.0,Малооблачно,З 3м/с
23.0,745.0,Малооблачно,В 3м/с,19.0,743.0,Пасмурно,В 3м/с
16.0,743.0,Переменная облачность,З 4м/с,14.0,745.0,Пасмурно,З 4м/с
12.0,747.0,Переменная облачность,З 4м/с,11.0,749.0,Переменная облачность,З 4м/с
20.0,753.0,Малооблачно,СЗ 3м/с,15.0,753.0,Ясно,СЗ 3м/с
25.0,753.0,Малооблачно,З 3м/с,17.0,753.0,Ясно,З 3м/с
29.0,752.0,Ясно,З 2м/с,19.0,752.0,Ясно,З 2м/с
31.0,750.0,Ясно,СЗ 1м/с,21.0,749.0,Ясно,СЗ 1м/с
31.0,745.0,Малооблачно,ЮЗ 2м/с,23.0,746.0,Малооблачно,ЮЗ 2м/с
23.0,748.0,Малооблачно,З 2м/с,20.0,749.0,Ясно,З 2м/с
28.0,750.0,Малооблачно,З 3м/с,23.0,751.0,Малооблачно,З 3м/с
22.0,751.0,Переменная облачность,ЮВ 1м/с,17.0,750.0,Малооблачно,ЮВ 1м/с
26.0,747.0,Малооблачно,СВ 3м/с,21.0,747.0,Ясно,СВ 3м/с
25.0,744.0,Ясно,С 2м/с,21.0,744.0,Ясно,С 2м/с
26.0,743.0,Малооблачно,СВ 2м/с,18.0,744.0,Малооблачно,СВ 2м/с
24.0,748.0,Переменная облачность,СЗ 2м/с,17.0,750.0,Ясно,СЗ 2м/с
19.0,752.0,Ясно,СВ 3м/с,15.0,753.0,Ясно,СВ 3м/с
26.0,749.0,Переменная облачность,З 4м/с,21.0,748.0,Малооблачно,З 4м/с
27.0,750.0,Ясно,СВ 2м/с,20.0,750.0,Ясно,СВ 2м/с
30.0,752.0,Малооблачно,З 2м/с,22.0,751.0,Ясно,З 2м/с
32.0,750.0,Малооблачно,З 2м/с,22.0,750.0,Ясно,З 2м/с
31.0,748.0,Малооблачно,СЗ 2м/с,24.0,748.0,Переменная облачность,СЗ 2м/с
22.0,749.0,Малооблачно,С 2м/с,17.0,749.0,Ясно,С 2м/с
23.0,745.0,Переменная облачность,СЗ 3м/с,15.0,745.0,Переменная облачность,СЗ 3м/с
21.0,744.0,Малооблачно,З 3м/с,14.0,744.0,Переменная облачность,З 3м/с
19.0,745.0,Переменная облачность,СЗ 2м/с,11.0,747.0,Малооблачно,СЗ 2м/с
24.0,745.0,Переменная облачность,СЗ 4м/с,19.0,745.0,Переменная облачность,СЗ 4м/с
25.0,745.0,Переменная облачность,СЗ 2м/с,20.0,746.0,Малооблачно,СЗ 2м/с
25.0,746.0,Малооблачно,СЗ 1м/с,17.0,746.0,Малооблачно,СЗ 1м/с
23.0,746.0,Малооблачно,СЗ 3м/с,17.0,746.0,Ясно,СЗ 3м/с
19.0,745.0,Переменная облачность,С 2м/с,15.0,746.0,Ясно,С 2м/с
19.0,749.0,Переменная облачность,СЗ 3м/с,15.0,751.0,Переменная облачность,СЗ 3м/с
22.0,750.0,Переменная облачность,СВ 2м/с,16.0,752.0,Ясно,СВ 2м/с
24.0,752.0,Малооблачно,З 2м/с,19.0,751.0,Ясно,З 2м/с
31.0,750.0,Ясно,З 3м/с,25.0,749.0,Переменная облачность,З 3м/с
31.0,749.0,Ясно,З 2м/с,20.0,749.0,Ясно,З 2м/с
26.0,750.0,Малооблачно,С 2м/с,21.0,751.0,Ясно,С 2м/с
25.0,751.0,Малооблачно,З 1м/с,19.0,751.0,Ясно,З 1м/с
24.0,748.0,Переменная облачность,С 1м/с,21.0,747.0,Ясно,С 1м/с
24.0,746.0,Переменная облачность,С 2м/с,21.0,745.0,Малооблачно,С 2м/с
24.0,745.0,Переменная облачность,В 4м/с,18.0,746.0,Малооблачно,В 4м/с
26.0,747.0,Переменная облачность,В 2м/с,21.0,747.0,Малооблачно,В 2м/с
31.0,748.0,Малооблачно,В 2м/с,26.0,748.0,Переменная облачность,В 2м/с
31.0,746.0,Переменная облачность,В 3м/с,27.0,746.0,Переменная облачность,В 3м/с
35.0,741.0,Переменная облачность,Ю 3м/с,24.0,741.0,Малооблачно,Ю 3м/с
29.0,742.0,Малооблачно,З 3м/с,22.0,743.0,Ясно,З 3м/с
27.0,743.0,Малооблачно,СЗ 2м/с,21.0,745.0,Ясно,СЗ 2м/с
27.0,746.0,Малооблачно,С 2м/с,19.0,747.0,Ясно,С 2м/с
28.0,748.0,Малооблачно,З 2м/с,19.0,749.0,Ясно,З 2м/с
26.0,748.0,Ясно,ЮВ 1м/с,18.0,748.0,Ясно,ЮВ 1м/с
29.0,748.0,Ясно,СЗ 1м/с,26.0,745.0,Ясно,СЗ 1м/с
37.0,742.0,Малооблачно,З 2м/с,33.0,740.0,Переменная облачность,З 2м/с
33.0,739.0,Малооблачно,З 2м/с,25.0,741.0,Ясно,З 2м/с
28.0,747.0,Переменная облачность,З 2м/с,25.0,747.0,Малооблачно,З 2м/с
22.0,749.0,Переменная облачность,ЮЗ 1м/с,21.0,749.0,Переменная облачность,ЮЗ 1м/с
23.0,747.0,Переменная облачность,С 1м/с,21.0,748.0,Ясно,С 1м/с
22.0,748.0,Малооблачно,СЗ 1м/с,20.0,748.0,Переменная облачность,СЗ 1м/с
27.0,746.0,Малооблачно,СЗ 2м/с,18.0,746.0,Ясно,СЗ 2м/с
27.0,746.0,Переменная облачность,З 2м/с,19.0,746.0,Ясно,З 2м/с
23.0,750.0,Ясно,СВ 2м/с,18.0,751.0,Ясно,СВ 2м/с
24.0,751.0,Ясно,В 2м/с,20.0,750.0,Ясно,В 2м/с
21.0,747.0,Переменная облачность,В 2м/с,16.0,746.0,Переменная облачность,В 2м/с
22.0,748.0,Переменная облачность,СЗ 1м/с,13.0,747.0,Ясно,СЗ 1м/с
19.0,745.0,Малооблачно,СВ 1м/с,16.0,742.0,Малооблачно,СВ 1м/с
19.0,740.0,Переменная облачность,З 6м/с,15.0,744.0,Ясно,З 6м/с
20.0,746.0,Переменная облачность,ЮЗ 3м/с,13.0,747.0,Переменная облачность,ЮЗ 3м/с
17.0,749.0,Переменная облачность,З 3м/с,12.0,751.0,Пасмурно,З 3м/с
20.0,755.0,Переменная облачность,СЗ 2м/с,15.0,756.0,Ясно,СЗ 2м/с
20.0,757.0,Малооблачно,С 2м/с,16.0,757.0,Ясно,С 2м/с
23.0,754.0,Малооблачно,СЗ 1м/с,19.0,752.0,Переменная облачность,СЗ 1м/с
19.0,750.0,Переменная облачность,СЗ 2м/с,15.0,750.0,Малооблачно,СЗ 2м/с
19.0,751.0,Переменная облачность,С 1м/с,10.0,751.0,Ясно,С 1м/с
22.0,749.0,Переменная облачность,СЗ 2м/с,12.0,749.0,Ясно,СЗ 2м/с
22.0,750.0,Малооблачно,СЗ 1м/с,13.0,751.0,Переменная облачность,СЗ 1м/с
19.0,753.0,Переменная облачность,СВ 2м/с,14.0,754.0,Ясно,СВ 2м/с
18.0,755.0,Ясно,В 1м/с,13.0,755.0,Ясно,В 1м/с
21.0,756.0,Ясно,В 1м/с,15.0,757.0,Ясно,В 1м/с
21.0,758.0,Ясно,В 2м/с,17.0,758.0,Ясно,В 2м/с
25.0,757.0,Ясно,З 1м/с,17.0,756.0,Переменная облачность,З 1м/с
23.0,754.0,Ясно,З 2м/с,11.0,753.0,Ясно,З 2м/с
24.0,752.0,Малооблачно,З 2м/с,18.0,752.0,Ясно,З 2м/с
22.0,751.0,Малооблачно,З 1м/с,14.0,750.0,Ясно,З 1м/с
13.0,748.0,Переменная облачность,СЗ 4м/с,7.0,751.0,Ясно,СЗ 4м/с
9.0,753.0,Переменная облачность,СЗ 3м/с,7.0,753.0,Переменная облачность,СЗ 3м/с
9.0,757.0,Переменная облачность,СЗ 2м/с,7.0,759.0,Пасмурно,СЗ 2м/с
14.0,760.0,Ясно,ЮЗ 3м/с,6.0,759.0,Ясно,ЮЗ 3м/с
17.0,756.0,Ясно,ЮЗ 2м/с,7.0,756.0,Ясно,ЮЗ 2м/с
20.0,754.0,Ясно,З 2м/с,10.0,754.0,Ясно,З 2м/с
20.0,752.0,Малооблачно,ЮВ 1м/с,10.0,752.0,Ясно,ЮВ 1м/с
17.0,749.0,Переменная облачность,В 2м/с,14.0,747.0,Ясно,В 2м/с
24.0,743.0,Ясно,В 2м/с,17.0,743.0,Ясно,В 2м/с
16.0,745.0,Малооблачно,Ш,13.0,746.0,Ясно,Ш
17.0,749.0,Переменная облачность,СЗ 1м/с,14.0,750.0,Ясно,СЗ 1м/с
19.0,750.0,Малооблачно,ЮВ 1м/с,15.0,749.0,Переменная облачность,ЮВ 1м/с
18.0,748.0,Переменная облачность,З 2м/с,13.0,749.0,Переменная облачность,З 2м/с
16.0,749.0,Переменная облачность,СЗ 1м/с,11.0,749.0,Переменная облачность,СЗ 1м/с
14.0,744.0,Переменная облачность,З 2м/с,12.0,741.0,Переменная облачность,З 2м/с
8.0,743.0,Пасмурно,З 3м/с,6.0,744.0,Переменная облачность,З 3м/с
3.0,747.0,Пасмурно,СЗ 3м/с,4.0,748.0,Пасмурно,СЗ 3м/с
6.0,749.0,Переменная облачность,СЗ 3м/с,2.0,749.0,Ясно,СЗ 3м/с
9.0,747.0,Переменная облачность,СЗ 2м/с,3.0,749.0,Переменная облачность,СЗ 2м/с
6.0,755.0,Переменная облачность,С 1м/с,3.0,757.0,Переменная облачность,С 1м/с
6.0,761.0,Переменная облачность,СЗ 1м/с,5.0,761.0,Малооблачно,СЗ 1м/с
8.0,761.0,Малооблачно,СЗ 3м/с,4.0,760.0,Ясно,СЗ 3м/с
4.0,762.0,Малооблачно,СЗ 2м/с,3.0,762.0,Пасмурно,СЗ 2м/с
9.0,761.0,Ясно,З 2м/с,5.0,760.0,Ясно,З 2м/с
13.0,756.0,Переменная облачность,З 4м/с,12.0,755.0,Пасмурно,З 4м/с
19.0,749.0,Переменная облачность,З 4м/с,14.0,751.0,Переменная облачность,З 4м/с
15.0,752.0,Малооблачно,З 2м/с,9.0,752.0,Ясно,З 2м/с
19.0,748.0,Ясно,З 3м/с,15.0,747.0,Ясно,З 3м/с
15.0,747.0,Переменная облачность,СЗ 2м/с,11.0,749.0,Малооблачно,СЗ 2м/с
13.0,749.0,Малооблачно,З 2м/с,12.0,748.0,Ясно,З 2м/с
17.0,743.0,Малооблачно,ЮЗ 3м/с,13.0,744.0,Ясно,ЮЗ 3м/с
17.0,738.0,Переменная облачность,ЮВ 1м/с,14.0,736.0,Пасмурно,ЮВ 1м/с
2.0,739.0,Пасмурно,СЗ 2м/с,0.0,740.0,Пасмурно,СЗ 2м/с
-2.0,745.0,Пасмурно,СЗ 3м/с,-4.0,748.0,Переменная облачность,СЗ 3м/с
-1.0,745.0,Переменная облачность,Ю 2м/с,-2.0,740.0,Пасмурно,Ю 2м/с
3.0,737.0,Пасмурно,В 2м/с,4.0,735.0,Ясно,В 2м/с
1.0,738.0,Переменная облачность,З 3м/с,-4.0,742.0,Пасмурно,З 3м/с
-6.0,748.0,Переменная облачность,З 4м/с,-9.0,750.0,Переменная облачность,З 4м/с
-6.0,755.0,Переменная облачность,СЗ 3м/с,-7.0,756.0,Переменная облачность,СЗ 3м/с
-5.0,758.0,Пасмурно,С 2м/с,-6.0,759.0,Пасмурно,С 2м/с
-5.0,764.0,Переменная облачность,СЗ 2м/с,-5.0,764.0,Малооблачно,СЗ 2м/с
2.0,762.0,Ясно,З 3м/с,1.0,761.0,Малооблачно,З 3м/с
3.0,756.0,Пасмурно,З 4м/с,3.0,755.0,Пасмурно,З 4м/с
7.0,755.0,Малооблачно,З 2м/с,5.0,756.0,Пасмурно,З 2м/с
7.0,757.0,Пасмурно,Ю 1м/с,6.0,756.0,Пасмурно,Ю 1м/с
8.0,752.0,Переменная облачность,ЮЗ 3м/с,6.0,751.0,Пасмурно,ЮЗ 3м/с
4.0,745.0,Малооблачно,Ш,2.0,744.0,Ясно,Ш
2.0,745.0,Пасмурно,СВ 3м/с,1.0,746.0,Переменная облачность,СВ 3м/с
4.0,750.0,Малооблачно,СВ 1м/с,2.0,752.0,Ясно,СВ 1м/с
-1.0,753.0,Пасмурно,С 1м/с,-2.0,752.0,Пасмурно,С 1м/с
4.0,751.0,Малооблачно,ЮЗ 1м/с,2.0,751.0,Ясно,ЮЗ 1м/с
1.0,753.0,Малооблачно,СЗ 1м/с,0.0,754.0,Пасмурно,СЗ 1м/с
4.0,755.0,Пасмурно,З 1м/с,3.0,756.0,Пасмурно,З 1м/с
4.0,755.0,Пасмурно,ЮЗ 2м/с,5.0,755.0,Пасмурно,ЮЗ 2м/с
4.0,757.0,Пасмурно,ЮЗ 2м/с,5.0,758.0,Ясно,ЮЗ 2м/с
6.0,759.0,Малооблачно,З 2м/с,4.0,763.0,Пасмурно,З 2м/с
2.0,766.0,Пасмурно,З 1м/с,2.0,766.0,Малооблачно,З 1м/с
4.0,761.0,Переменная облачность,ЮЗ 2м/с,3.0,760.0,Переменная облачность,ЮЗ 2м/с
5.0,759.0,Пасмурно,З 2м/с,2.0,759.0,Малооблачно,З 2м/с
2.0,759.0,Пасмурно,СЗ 1м/с,2.0,760.0,Пасмурно,СЗ 1м/с
-1.0,759.0,Пасмурно,СЗ 1м/с,-4.0,759.0,Малооблачно,СЗ 1м/с
-8.0,762.0,Переменная облачность,С 1м/с,-9.0,763.0,Ясно,С 1м/с
-6.0,765.0,Ясно,Ш,-9.0,765.0,Ясно,Ш
-6.0,766.0,Переменная облачность,З 2м/с,-9.0,766.0,Ясно,З 2м/с
-6.0,765.0,Переменная облачность,З 2м/с,-8.0,771.0,Пасмурно,З 2м/с
-4.0,762.0,Пасмурно,С 1м/с,-3.0,762.0,Пасмурно,С 1м/с
-1.0,762.0,Переменная облачность,СЗ 1м/с,-1.0,762.0,Пасмурно,СЗ 1м/с
-1.0,757.0,Ясно,З 2м/с,-4.0,755.0,Ясно,З 2м/с
-3.0,756.0,Переменная облачность,С 2м/с,-8.0,761.0,Переменная облачность,С 2м/с
-11.0,770.0,Ясно,ЮВ 1м/с,-13.0,770.0,Ясно,ЮВ 1м/с
-7.0,767.0,Переменная облачность,З 3м/с,-10.0,766.0,Ясно,З 3м/с
-7.0,760.0,Ясно,З 3м/с,-9.0,759.0,Ясно,З 3м/с
